seed,score,turns,turn_complete_arc,turn_complete_senate,conquest_before_inv1,conquest_before_inv2,pre_inv1_culture,pre_inv1_military,pre_inv1_industry,pre_inv1_regions,pre_inv2_culture,pre_inv2_military,pre_inv2_industry,pre_inv2_regions,final_regions,final_built_count,final_completed_monuments,file,build_turn_B_JunTuanYaoSai,build_turn_B_YuanXingJingJiChang,build_turn_B_DiGuoJinKuang,build_turn_B_KaiXuanDiaoSu,build_turn_B_DiGuoYinShuiDao,seen_turn_帝国广场1,seen_turn_帝国广场2,seen_turn_凯旋门1,seen_turn_凯旋门2,seen_turn_军团要塞,seen_turn_圆形竞技场,seen_turn_帝国金矿,seen_turn_凯旋雕塑,seen_turn_帝国引水道
9004604,16,21,17,9,2,4,4,1,0,3,5,4,1,5,6,2,2,case_score16_seed9004604.json,,2,,,20.0,5,5,7,3,4,2,6,1,1
9005088,16,21,21,9,1,3,6,4,0,2,8,5,0,3,6,2,2,case_score16_seed9005088.json,,2,,13.0,,6,2,5,1,3,2,7,1,1
9005348,16,21,14,8,1,3,3,4,1,2,6,3,2,4,6,2,2,case_score16_seed9005348.json,,5,,21.0,,4,7,1,6,3,5,6,1,2
9005359,16,21,16,10,1,3,1,6,3,2,6,3,0,4,6,2,2,case_score16_seed9005359.json,,7,,,20.0,4,4,6,1,1,7,4,5,5
9005637,16,21,18,9,1,3,4,4,0,2,6,5,1,4,6,2,2,case_score16_seed9005637.json,,2,,,17.0,4,1,3,6,7,2,4,1,2
9005777,16,21,19,8,1,3,8,5,3,2,5,3,0,4,5,3,2,case_score16_seed9005777.json,,9,,13.0,21.0,7,2,2,3,5,1,7,6,4
9005990,16,21,20,9,1,3,2,5,4,2,9,4,2,3,5,3,2,case_score16_seed9005990.json,,7,,21.0,11.0,6,2,6,7,4,7,1,5,2
9006304,16,21,16,11,1,2,3,5,2,2,9,3,2,3,5,3,2,case_score16_seed9006304.json,,5,,17.0,20.0,7,6,7,6,5,5,1,2,1
9006485,16,21,15,9,1,3,1,5,2,1,8,4,2,3,6,2,2,case_score16_seed9006485.json,,6,,,21.0,3,1,5,7,5,6,4,1,2
9006696,16,21,17,9,1,2,9,6,1,2,8,5,0,3,5,3,2,case_score16_seed9006696.json,,2,,11.0,20.0,7,4,5,3,5,2,4,6,6
9006742,16,21,16,10,1,3,3,4,2,2,7,5,1,3,6,2,2,case_score16_seed9006742.json,,7,,18.0,,6,5,2,3,6,7,1,1,4
9007065,16,21,18,9,2,4,5,3,0,2,9,6,1,4,6,2,2,case_score16_seed9007065.json,,2,,,19.0,5,4,3,2,2,2,4,1,5
9007193,16,21,13,8,1,3,4,6,1,1,4,4,0,4,6,2,2,case_score16_seed9007193.json,,3,,17.0,,6,3,2,3,4,3,4,5,7
9007418,16,21,21,10,2,3,5,4,0,2,6,5,1,4,6,2,2,case_score16_seed9007418.json,,3,,,16.0,6,7,4,3,1,3,6,2,3
9007431,16,21,18,9,1,3,2,4,0,2,9,7,2,3,6,2,2,case_score16_seed9007431.json,,4,,,21.0,6,1,2,5,6,4,3,1,7
9007565,16,21,16,9,1,3,7,4,2,2,6,4,0,4,5,3,2,case_score16_seed9007565.json,,5,,20.0,21.0,7,7,5,2,1,5,5,3,6
9007722,16,21,17,9,2,3,5,3,0,3,8,5,1,3,6,2,2,case_score16_seed9007722.json,,5,,,19.0,7,1,2,1,2,5,5,5,3
9008192,16,21,18,8,1,3,8,5,0,1,9,6,1,3,6,2,2,case_score16_seed9008192.json,,2,,,17.0,4,6,3,2,5,2,6,1,5
9008213,16,21,19,13,2,3,2,3,2,3,5,5,2,3,6,2,2,case_score16_seed9008213.json,,7,,18.0,,5,1,5,1,4,7,7,3,4
9008353,16,21,20,10,1,3,3,3,1,2,9,5,1,4,6,2,2,case_score16_seed9008353.json,,4,,18.0,,6,4,7,7,2,4,5,4,1
9008530,16,21,16,10,1,3,4,5,2,1,9,4,1,3,6,2,2,case_score16_seed9008530.json,,2,,,19.0,5,3,6,3,7,2,2,3,6
9008557,16,21,18,9,1,3,6,4,1,2,8,6,0,4,6,2,2,case_score16_seed9008557.json,,2,,,16.0,5,3,2,4,4,2,6,2,3
9008982,16,21,16,10,0,2,7,5,5,1,9,5,3,3,5,3,2,case_score16_seed9008982.json,,2,,18.0,14.0,7,2,4,4,7,2,5,3,6
9009295,16,21,16,11,1,3,2,2,1,2,7,4,1,3,6,2,2,case_score16_seed9009295.json,,6,,,19.0,3,2,3,3,7,6,2,1,4
9009386,16,21,18,10,2,3,2,3,2,3,9,5,2,4,6,2,2,case_score16_seed9009386.json,,7,,17.0,,3,3,7,5,1,7,1,2,4
9009409,16,21,21,12,2,3,2,3,0,2,9,3,2,3,5,3,2,case_score16_seed9009409.json,,5,,19.0,20.0,6,3,4,4,2,5,6,1,7
9009615,16,21,17,8,1,3,6,2,1,2,9,4,1,4,5,3,2,case_score16_seed9009615.json,,3,,18.0,21.0,6,2,4,5,7,3,5,4,1
9009658,16,21,16,9,1,3,7,4,1,2,5,3,1,4,6,2,2,case_score16_seed9009658.json,,5,,,18.0,7,6,5,5,2,5,3,7,1
