seed,score,completed_monuments_ids,completed_monuments_names,built_buildings_ids,built_buildings_names,TopResource,Conquest,Tribute,Build_Building,Build_Monument
9103035,18,M_DiGuoGuangChang+M_KaiXuanMen+M_WanShenMiao,帝国广场+凯旋门+万神庙,B_DiGuoJinKuang+B_DiGuoYinShuiDao+B_YuanXingJingJiChang,帝国金矿+帝国引水道+圆形竞技场,7,4,1,3,6
9103428,18,M_DiGuoGuangChang+M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,帝国广场+凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_YuanXingJingJiChang,帝国引水道+圆形竞技场,8,3,0,2,8
9103760,18,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_JunTuanYaoSai+B_KaiXuanDiaoSu,帝国引水道+军团要塞+凯旋雕塑,9,3,0,3,6
9104113,18,M_DiGuoGuangChang+M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,帝国广场+凯旋门+罗马斗兽场+万神庙,B_YuanXingJingJiChang,圆形竞技场,8,4,0,1,8
9104701,18,M_DiGuoGuangChang+M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,帝国广场+凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_YuanXingJingJiChang,帝国引水道+圆形竞技场,7,3,1,2,8
9104924,18,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu,帝国引水道+凯旋雕塑,10,3,0,2,6
9105009,18,M_DiGuoGuangChang+M_KaiXuanMen+M_WanShenMiao,帝国广场+凯旋门+万神庙,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+凯旋雕塑+圆形竞技场,8,3,1,3,6
9106424,18,M_KaiXuanMen+M_WanShenMiao,凯旋门+万神庙,B_DiGuoYinShuiDao+B_JunTuanYaoSai+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+军团要塞+凯旋雕塑+圆形竞技场,9,4,0,4,4
9106891,18,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+凯旋雕塑+圆形竞技场,8,3,1,3,6
9107333,18,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_YuanXingJingJiChang,帝国引水道+圆形竞技场,9,4,0,2,6
9107420,18,M_KaiXuanMen+M_LuoMaDouShouChang+M_TuLaZhenShiChang+M_WanShenMiao,凯旋门+罗马斗兽场+图拉真市场+万神庙,B_JunTuanYaoSai+B_YuanXingJingJiChang,军团要塞+圆形竞技场,8,3,0,2,8
9108125,18,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+凯旋雕塑+圆形竞技场,8,3,1,3,6
9108600,18,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+凯旋雕塑+圆形竞技场,8,3,1,3,6
9109204,18,M_HaDeLiangLingQin+M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,哈德良陵寝+凯旋门+罗马斗兽场+万神庙,B_JunTuanYaoSai+B_YuanXingJingJiChang,军团要塞+圆形竞技场,7,4,0,2,8
9109391,18,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+凯旋雕塑+圆形竞技场,9,3,0,3,6
9109426,18,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+凯旋雕塑+圆形竞技场,8,3,1,3,6
9109442,18,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+凯旋雕塑+圆形竞技场,7,3,2,3,6
9100560,17,M_DiGuoGuangChang+M_HaDeLiangLingQin+M_KaiXuanMen+M_WanShenMiao,帝国广场+哈德良陵寝+凯旋门+万神庙,B_JunTuanYaoSai+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,军团要塞+凯旋雕塑+圆形竞技场,8,2,0,3,8
9101047,17,M_HaDeLiangLingQin+M_LuoMaDouShouChang+M_WanShenMiao,哈德良陵寝+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+凯旋雕塑+圆形竞技场,9,3,0,3,6
9101907,17,M_HaDeLiangLingQin+M_LuoMaDouShouChang+M_WanShenMiao,哈德良陵寝+罗马斗兽场+万神庙,B_DiGuoJinKuang+B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国金矿+帝国引水道+凯旋雕塑+圆形竞技场,8,2,0,4,6
9102447,17,M_HaDeLiangLingQin+M_KaiXuanMen+M_WanShenMiao,哈德良陵寝+凯旋门+万神庙,B_DiGuoYinShuiDao+B_JunTuanYaoSai+B_YuanXingJingJiChang,帝国引水道+军团要塞+圆形竞技场,9,3,0,3,6
9103526,17,M_HaDeLiangLingQin+M_KaiXuanMen+M_LuoMaDouShouChang,哈德良陵寝+凯旋门+罗马斗兽场,B_JunTuanYaoSai+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,军团要塞+凯旋雕塑+圆形竞技场,8,4,0,3,6
9103911,17,M_HaDeLiangLingQin+M_KaiXuanMen+M_WanShenMiao,哈德良陵寝+凯旋门+万神庙,B_DiGuoYinShuiDao+B_JunTuanYaoSai+B_YuanXingJingJiChang,帝国引水道+军团要塞+圆形竞技场,8,3,1,3,6
9104403,17,M_HaDeLiangLingQin+M_KaiXuanMen+M_LuoMaDouShouChang,哈德良陵寝+凯旋门+罗马斗兽场,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+凯旋雕塑+圆形竞技场,9,3,0,3,6
9105603,17,M_HaDeLiangLingQin+M_KaiXuanMen+M_LuoMaDouShouChang,哈德良陵寝+凯旋门+罗马斗兽场,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+凯旋雕塑+圆形竞技场,7,3,2,3,6
9106975,17,M_DiGuoGuangChang+M_HaDeLiangLingQin+M_KaiXuanMen,帝国广场+哈德良陵寝+凯旋门,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+凯旋雕塑+圆形竞技场,8,3,1,3,6
9100017,16,M_DiGuoGuangChang+M_KaiXuanMen+M_WanShenMiao,帝国广场+凯旋门+万神庙,B_DiGuoYinShuiDao+B_YuanXingJingJiChang,帝国引水道+圆形竞技场,10,3,0,2,6
9100032,16,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_YuanXingJingJiChang,帝国引水道+圆形竞技场,9,3,0,2,7
9100050,16,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao,帝国引水道,10,3,0,1,7
9100051,16,M_DiGuoGuangChang+M_KaiXuanMen+M_WanShenMiao,帝国广场+凯旋门+万神庙,B_JunTuanYaoSai+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,军团要塞+凯旋雕塑+圆形竞技场,9,3,0,3,6
9100063,16,M_DiGuoGuangChang+M_KaiXuanMen+M_LuoMaDouShouChang,帝国广场+凯旋门+罗马斗兽场,B_DiGuoYinShuiDao+B_JunTuanYaoSai+B_KaiXuanDiaoSu,帝国引水道+军团要塞+凯旋雕塑,8,3,1,3,6
9100064,16,M_DiGuoGuangChang+M_KaiXuanMen+M_WanShenMiao,帝国广场+凯旋门+万神庙,B_DiGuoYinShuiDao+B_YuanXingJingJiChang,帝国引水道+圆形竞技场,9,3,1,2,6
9100081,16,M_DiGuoGuangChang+M_KaiXuanMen+M_WanShenMiao,帝国广场+凯旋门+万神庙,B_JunTuanYaoSai+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,军团要塞+凯旋雕塑+圆形竞技场,7,3,2,3,6
9100086,16,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_JunTuanYaoSai+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,军团要塞+凯旋雕塑+圆形竞技场,9,3,0,3,6
9100101,16,M_KaiXuanMen+M_WanShenMiao,凯旋门+万神庙,B_DiGuoYinShuiDao+B_JunTuanYaoSai+B_KaiXuanDiaoSu,帝国引水道+军团要塞+凯旋雕塑,10,3,1,3,4
9100126,16,M_DiGuoGuangChang+M_KaiXuanMen+M_WanShenMiao,帝国广场+凯旋门+万神庙,B_DiGuoJinKuang+B_YuanXingJingJiChang,帝国金矿+圆形竞技场,9,4,0,2,6
9100160,16,M_DiGuoGuangChang+M_KaiXuanMen+M_WanShenMiao,帝国广场+凯旋门+万神庙,B_DiGuoYinShuiDao+B_YuanXingJingJiChang,帝国引水道+圆形竞技场,9,3,1,2,6
9100172,16,M_DiGuoGuangChang+M_KaiXuanMen+M_WanShenMiao,帝国广场+凯旋门+万神庙,B_DiGuoYinShuiDao+B_YuanXingJingJiChang,帝国引水道+圆形竞技场,9,3,1,2,6
9100186,16,M_KaiXuanMen+M_LuoMaDouShouChang,凯旋门+罗马斗兽场,B_DiGuoYinShuiDao+B_JunTuanYaoSai+B_KaiXuanDiaoSu,帝国引水道+军团要塞+凯旋雕塑,9,4,1,3,4
9100222,16,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_JunTuanYaoSai+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,军团要塞+凯旋雕塑+圆形竞技场,8,3,1,3,6
9100275,16,M_DiGuoGuangChang+M_KaiXuanMen,帝国广场+凯旋门,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+凯旋雕塑+圆形竞技场,8,4,2,3,4
9100299,16,M_HaDeLiangLingQin+M_KaiXuanMen,哈德良陵寝+凯旋门,B_DiGuoYinShuiDao+B_JunTuanYaoSai+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+军团要塞+凯旋雕塑+圆形竞技场,10,3,0,4,4
9100307,16,M_KaiXuanMen+M_WanShenMiao,凯旋门+万神庙,B_DiGuoYinShuiDao+B_JunTuanYaoSai+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+军团要塞+凯旋雕塑+圆形竞技场,8,3,2,4,4
9100351,16,M_DiGuoGuangChang+M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,帝国广场+凯旋门+罗马斗兽场+万神庙,B_YuanXingJingJiChang,圆形竞技场,8,3,1,1,8
9100467,16,M_DiGuoGuangChang+M_KaiXuanMen+M_WanShenMiao,帝国广场+凯旋门+万神庙,B_DiGuoYinShuiDao+B_YuanXingJingJiChang,帝国引水道+圆形竞技场,8,3,1,2,7
9100488,16,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_KaiXuanDiaoSu+B_YuanXingJingJiChang,凯旋雕塑+圆形竞技场,10,3,0,2,6
9100513,16,M_KaiXuanMen+M_WanShenMiao,凯旋门+万神庙,B_DiGuoYinShuiDao+B_JunTuanYaoSai+B_KaiXuanDiaoSu,帝国引水道+军团要塞+凯旋雕塑,11,3,0,3,4
9100514,16,M_DiGuoGuangChang+M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,帝国广场+凯旋门+罗马斗兽场+万神庙,B_YuanXingJingJiChang,圆形竞技场,9,3,0,1,8
9100552,16,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_KaiXuanDiaoSu+B_YuanXingJingJiChang,凯旋雕塑+圆形竞技场,10,3,0,2,6
9100563,16,M_KaiXuanMen+M_WanShenMiao,凯旋门+万神庙,B_DiGuoYinShuiDao+B_JunTuanYaoSai+B_YuanXingJingJiChang,帝国引水道+军团要塞+圆形竞技场,9,4,1,3,4
9100579,16,M_DiGuoGuangChang+M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,帝国广场+凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_YuanXingJingJiChang,帝国引水道+圆形竞技场,8,2,1,2,8
9100583,16,M_DiGuoGuangChang+M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,帝国广场+凯旋门+罗马斗兽场+万神庙,B_YuanXingJingJiChang,圆形竞技场,8,3,1,1,8
9100598,16,M_KaiXuanMen+M_WanShenMiao,凯旋门+万神庙,B_JunTuanYaoSai+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,军团要塞+凯旋雕塑+圆形竞技场,9,4,1,3,4
9100628,16,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+凯旋雕塑+圆形竞技场,8,2,2,3,6
9100664,16,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_JunTuanYaoSai+B_YuanXingJingJiChang,帝国引水道+军团要塞+圆形竞技场,8,3,1,3,6
9100673,16,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+凯旋雕塑+圆形竞技场,10,2,0,3,6
9100702,16,M_DiGuoGuangChang+M_KaiXuanMen+M_WanShenMiao,帝国广场+凯旋门+万神庙,B_JunTuanYaoSai+B_YuanXingJingJiChang,军团要塞+圆形竞技场,9,4,0,2,6
9100724,16,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_JunTuanYaoSai+B_YuanXingJingJiChang,军团要塞+圆形竞技场,8,4,0,2,7
9100741,16,M_DiGuoGuangChang+M_KaiXuanMen+M_WanShenMiao,帝国广场+凯旋门+万神庙,B_KaiXuanDiaoSu+B_YuanXingJingJiChang,凯旋雕塑+圆形竞技场,8,3,2,2,6
9100742,16,M_DiGuoGuangChang+M_KaiXuanMen+M_WanShenMiao,帝国广场+凯旋门+万神庙,B_KaiXuanDiaoSu+B_YuanXingJingJiChang,凯旋雕塑+圆形竞技场,8,3,2,2,6
9100744,16,M_DiGuoGuangChang+M_KaiXuanMen+M_WanShenMiao,帝国广场+凯旋门+万神庙,B_DiGuoYinShuiDao+B_JunTuanYaoSai+B_YuanXingJingJiChang,帝国引水道+军团要塞+圆形竞技场,8,3,1,3,6
9100745,16,M_DiGuoGuangChang+M_KaiXuanMen+M_WanShenMiao,帝国广场+凯旋门+万神庙,B_DiGuoJinKuang+B_DiGuoYinShuiDao+B_YuanXingJingJiChang,帝国金矿+帝国引水道+圆形竞技场,8,3,1,3,6
9100749,16,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+凯旋雕塑+圆形竞技场,8,2,2,3,6
9100786,16,M_DiGuoGuangChang+M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,帝国广场+凯旋门+罗马斗兽场+万神庙,B_JunTuanYaoSai,军团要塞,8,3,1,1,8
9100787,16,M_DiGuoGuangChang+M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,帝国广场+凯旋门+罗马斗兽场+万神庙,B_YuanXingJingJiChang,圆形竞技场,9,3,0,1,8
9100801,16,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_YuanXingJingJiChang,帝国引水道+圆形竞技场,9,3,1,2,6
9100810,16,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_YuanXingJingJiChang,帝国引水道+圆形竞技场,9,3,0,2,7
9100851,16,M_DiGuoGuangChang+M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,帝国广场+凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_YuanXingJingJiChang,帝国引水道+圆形竞技场,8,2,1,2,8
9100864,16,M_DiGuoGuangChang+M_KaiXuanMen+M_WanShenMiao,帝国广场+凯旋门+万神庙,B_YuanXingJingJiChang,圆形竞技场,10,4,0,1,6
9100902,16,M_DiGuoGuangChang+M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,帝国广场+凯旋门+罗马斗兽场+万神庙,B_KaiXuanDiaoSu+B_YuanXingJingJiChang,凯旋雕塑+圆形竞技场,9,2,0,2,8
9100924,16,M_HaDeLiangLingQin+M_LuoMaDouShouChang+M_WanShenMiao,哈德良陵寝+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+凯旋雕塑+圆形竞技场,8,2,2,3,6
9101002,16,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_KaiXuanDiaoSu+B_YuanXingJingJiChang,凯旋雕塑+圆形竞技场,10,3,0,2,6
9101014,16,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao,帝国引水道,11,3,0,1,6
9101044,16,M_DiGuoGuangChang+M_KaiXuanMen+M_WanShenMiao,帝国广场+凯旋门+万神庙,B_DiGuoYinShuiDao+B_JunTuanYaoSai+B_YuanXingJingJiChang,帝国引水道+军团要塞+圆形竞技场,8,3,0,3,6
9101055,16,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+凯旋雕塑+圆形竞技场,10,2,0,3,6
9101064,16,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_JunTuanYaoSai+B_YuanXingJingJiChang,军团要塞+圆形竞技场,8,4,1,2,6
9101083,16,M_DiGuoGuangChang+M_KaiXuanMen+M_WanShenMiao,帝国广场+凯旋门+万神庙,B_JunTuanYaoSai+B_YuanXingJingJiChang,军团要塞+圆形竞技场,8,4,1,2,6
9101088,16,M_KaiXuanMen+M_WanShenMiao,凯旋门+万神庙,B_DiGuoYinShuiDao+B_JunTuanYaoSai+B_KaiXuanDiaoSu,帝国引水道+军团要塞+凯旋雕塑,11,3,0,3,4
9101093,16,M_DiGuoGuangChang+M_KaiXuanMen+M_WanShenMiao,帝国广场+凯旋门+万神庙,B_DiGuoYinShuiDao+B_YuanXingJingJiChang,帝国引水道+圆形竞技场,10,3,0,2,6
9101124,16,M_DiGuoGuangChang+M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,帝国广场+凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_YuanXingJingJiChang,帝国引水道+圆形竞技场,7,3,1,2,8
9101130,16,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_KaiXuanDiaoSu+B_YuanXingJingJiChang,凯旋雕塑+圆形竞技场,7,3,1,2,8
9101148,16,M_DiGuoGuangChang+M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,帝国广场+凯旋门+罗马斗兽场+万神庙,B_JunTuanYaoSai+B_YuanXingJingJiChang,军团要塞+圆形竞技场,8,3,0,2,8
9101173,16,M_DiGuoGuangChang+M_LuoMaDouShouChang+M_WanShenMiao,帝国广场+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+凯旋雕塑+圆形竞技场,8,3,1,3,6
9101220,16,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_JunTuanYaoSai,帝国引水道+军团要塞,10,3,0,2,6
9101250,16,M_DiGuoGuangChang+M_LuoMaDouShouChang+M_WanShenMiao,帝国广场+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+凯旋雕塑+圆形竞技场,8,3,1,3,6
9101261,16,M_DiGuoGuangChang+M_KaiXuanMen+M_WanShenMiao,帝国广场+凯旋门+万神庙,B_YuanXingJingJiChang,圆形竞技场,9,4,1,1,6
9101306,16,M_DiGuoGuangChang+M_KaiXuanMen+M_WanShenMiao,帝国广场+凯旋门+万神庙,B_KaiXuanDiaoSu+B_YuanXingJingJiChang,凯旋雕塑+圆形竞技场,9,3,1,2,6
9101314,16,M_DiGuoGuangChang+M_KaiXuanMen+M_WanShenMiao,帝国广场+凯旋门+万神庙,B_YuanXingJingJiChang,圆形竞技场,10,4,0,1,6
9101330,16,M_DiGuoGuangChang+M_KaiXuanMen+M_LuoMaDouShouChang,帝国广场+凯旋门+罗马斗兽场,B_DiGuoJinKuang+B_DiGuoYinShuiDao+B_KaiXuanDiaoSu,帝国金矿+帝国引水道+凯旋雕塑,8,3,1,3,6
9101339,16,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+凯旋雕塑+圆形竞技场,8,2,1,3,7
9101348,16,M_DiGuoGuangChang+M_KaiXuanMen+M_LuoMaDouShouChang,帝国广场+凯旋门+罗马斗兽场,B_KaiXuanDiaoSu,凯旋雕塑,10,4,0,1,6
9101351,16,M_DiGuoGuangChang+M_KaiXuanMen+M_LuoMaDouShouChang,帝国广场+凯旋门+罗马斗兽场,B_YuanXingJingJiChang,圆形竞技场,8,5,1,1,6
9101368,16,M_DiGuoGuangChang+M_KaiXuanMen,帝国广场+凯旋门,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+凯旋雕塑+圆形竞技场,8,4,2,3,4
9101376,16,M_KaiXuanMen+M_WanShenMiao,凯旋门+万神庙,B_DiGuoYinShuiDao+B_JunTuanYaoSai+B_KaiXuanDiaoSu,帝国引水道+军团要塞+凯旋雕塑,11,3,0,3,4
9101408,16,M_DiGuoGuangChang+M_KaiXuanMen+M_LuoMaDouShouChang,帝国广场+凯旋门+罗马斗兽场,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+凯旋雕塑+圆形竞技场,8,3,1,3,6
9101447,16,M_DiGuoGuangChang+M_KaiXuanMen+M_WanShenMiao,帝国广场+凯旋门+万神庙,B_DiGuoYinShuiDao+B_YuanXingJingJiChang,帝国引水道+圆形竞技场,10,3,0,2,6
9101481,16,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_JunTuanYaoSai+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,军团要塞+凯旋雕塑+圆形竞技场,8,3,1,3,6
9101482,16,M_DiGuoGuangChang+M_KaiXuanMen+M_WanShenMiao,帝国广场+凯旋门+万神庙,B_YuanXingJingJiChang,圆形竞技场,10,4,0,1,6
9101494,16,M_DiGuoGuangChang+M_KaiXuanMen+M_WanShenMiao,帝国广场+凯旋门+万神庙,B_YuanXingJingJiChang,圆形竞技场,9,4,1,1,6
9101528,16,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_KaiXuanDiaoSu,凯旋雕塑,11,3,0,1,6
9101543,16,M_KaiXuanMen+M_LuoMaDouShouChang+M_WanShenMiao,凯旋门+罗马斗兽场+万神庙,B_DiGuoYinShuiDao+B_KaiXuanDiaoSu+B_YuanXingJingJiChang,帝国引水道+凯旋雕塑+圆形竞技场,8,3,1,3,6
