seed,score,turn1_cards,turn2_cards,opening_building_cnt,opening_monument_cnt,opening_action_cnt,turn_seen_Amphi,turn_seen_Senate1,turn_seen_Senate2,turn_seen_Arc1,turn_seen_Arc2
9100749,16,C01|C06|C18,C03|C04|C14,3,4,2,5,2,4,1,7
9100786,16,C18|C01|C05,C04|C21|C09,4,4,1,1,6,5,1,4
9100787,16,C02|C17|C16,C11|C06|C07,1,5,3,5,6,6,3,6
9100801,16,C04|C19|C03,C20|C18|C10,3,6,0,5,6,6,2,1
9100810,16,C16|C03|C12,C06|C07|C14,2,5,2,3,2,7,6,4
9100851,16,C13|C01|C16,C05|C14|C15,3,5,1,2,2,2,5,6
9100864,16,C13|C01|C17,C11|C03|C06,2,5,2,4,6,6,7,4
9100902,16,C02|C08|C07,C11|C10|C16,2,5,2,5,7,6,4,3
9100924,16,C01|C03|C19,C08|C17|C14,2,5,2,5,2,3,7,1
9101002,16,C06|C07|C17,C15|C16|C09,3,3,3,3,5,2,4,6
9101014,16,C06|C07|C11,C10|C14|C18,1,5,3,7,2,6,2,3
9101044,16,C07|C10|C05,C04|C21|C18,2,4,3,1,4,6,2,5
9101055,16,C17|C07|C14,C08|C15|C10,0,6,3,5,1,2,5,7
9101064,16,C09|C13|C15,C04|C01|C18,2,5,2,6,3,1,2,6
9101083,16,C07|C13|C04,C11|C03|C18,2,6,1,7,4,3,2,5
9101088,16,C05|C18|C14,C15|C09|C12,1,6,2,1,1,2,1,6
9101093,16,C17|C06|C12,C04|C08|C05,3,4,2,2,4,5,4,5
9101124,16,C07|C08|C04,C02|C12|C15,3,3,3,3,5,2,4,6
9101130,16,C06|C14|C15,C05|C04|C07,2,4,3,2,1,1,6,3
9101148,16,C19|C07|C20,C16|C13|C12,2,6,1,3,6,4,7,1
9101173,16,C01|C18|C10,C04|C15|C08,3,4,2,7,5,2,1,5
9101220,16,C15|C19|C17,C21|C07|C10,1,6,2,4,4,1,3,1
9101250,16,C10|C17|C12,C02|C15|C05,3,6,0,2,6,2,7,4
9101261,16,C02|C07|C08,C19|C09|C16,3,3,3,7,4,6,5,2
9101306,16,C04|C17|C01,C18|C11|C02,3,5,1,5,6,4,2,5
9101314,16,C07|C21|C11,C04|C16|C06,1,6,2,4,7,3,6,3
9101330,16,C11|C06|C12,C09|C14|C21,1,5,3,5,2,3,6,5
9101339,16,C14|C01|C19,C05|C15|C13,4,5,0,2,1,2,7,1
9101348,16,C21|C17|C01,C06|C11|C08,3,4,2,3,3,5,7,7
9101351,16,C20|C03|C09,C11|C02|C14,2,5,2,4,2,6,4,6
9101368,16,C16|C20|C04,C18|C10|C11,3,6,0,3,7,6,2,6
9101376,16,C01|C09|C05,C11|C04|C07,4,2,3,1,4,3,4,6
9101408,16,C04|C19|C21,C03|C02|C16,3,4,2,4,5,5,6,1
9101447,16,C12|C16|C21,C01|C14|C05,2,5,2,2,2,6,3,4
9101481,16,C04|C21|C01,C02|C18|C06,3,5,1,7,4,3,2,6
9101482,16,C18|C04|C06,C05|C15|C17,2,6,1,2,3,2,1,3
9101494,16,C15|C02|C07,C09|C05|C10,3,3,3,2,7,1,4,5
9101528,16,C02|C08|C21,C17|C10|C18,2,5,2,4,6,4,2,7
9101543,16,C11|C03|C01,C06|C13|C15,3,4,2,6,4,2,4,5
9101548,16,C12|C06|C01,C15|C11|C07,1,6,2,5,3,2,5,4
9101570,16,C18|C14|C17,C10|C16|C06,2,6,1,7,1,5,1,3
9101590,16,C12|C15|C20,C04|C02|C19,3,4,2,3,5,1,6,2
9101599,16,C07|C12|C03,C13|C19|C18,1,5,3,4,4,5,2,2
9101608,16,C04|C17|C12,C15|C20|C01,3,6,0,3,3,2,4,6
9101625,16,C17|C03|C04,C07|C21|C14,2,6,1,6,2,5,3,4
9101663,16,C18|C02|C12,C04|C06|C11,2,6,1,4,3,3,1,7
9101679,16,C02|C08|C19,C18|C15|C09,2,5,2,3,5,2,2,1
9101759,16,C07|C10|C13,C01|C18|C19,1,6,2,5,3,6,2,2
9101788,16,C07|C12|C14,C03|C13|C09,2,5,2,5,1,5,3,6
9101799,16,C02|C21|C01,C08|C18|C05,3,5,1,2,3,4,2,3
9101822,16,C20|C08|C06,C07|C13|C21,1,5,3,5,3,5,5,7
9101855,16,C17|C13|C06,C09|C14|C11,0,7,2,7,2,3,3,5
9101867,16,C02|C18|C03,C20|C17|C19,4,4,1,3,7,6,1,2
9101871,16,C20|C09|C06,C21|C05|C11,3,4,2,2,5,5,7,4
9101887,16,C19|C13|C10,C15|C18|C21,2,7,0,3,3,2,2,1
9101897,16,C04|C18|C07,C08|C01|C02,3,3,3,4,3,5,1,5
9101918,16,C02|C08|C18,C16|C14|C03,3,5,1,3,2,5,1,5
9101950,16,C17|C07|C21,C08|C12|C05,1,4,4,2,7,6,6,4
9101952,16,C10|C14|C18,C21|C04|C17,2,7,0,7,1,4,1,7
9101955,16,C04|C20|C14,C01|C16|C06,3,5,1,3,1,7,6,5
9101965,16,C06|C15|C20,C13|C21|C18,0,7,2,4,6,1,2,4
9101974,16,C11|C13|C05,C04|C07|C15,2,5,2,1,7,2,7,5
9102007,16,C17|C16|C14,C11|C03|C10,2,7,0,3,1,7,5,3
9102085,16,C14|C13|C21,C05|C10|C03,3,6,0,2,1,3,5,4
9102135,16,C02|C15|C18,C08|C05|C13,3,5,1,2,4,1,1,5
9102142,16,C15|C03|C18,C16|C04|C17,4,4,1,4,7,1,1,6
9102150,16,C17|C08|C14,C06|C02|C19,2,4,3,5,1,4,5,2
9102166,16,C10|C20|C07,C17|C03|C09,3,4,2,3,6,6,3,5
9102174,16,C12|C15|C19,C02|C14|C09,1,5,3,4,2,1,5,1
9102197,16,C19|C11|C16,C21|C01|C18,2,6,1,4,3,7,2,1
9102220,16,C05|C01|C15,C19|C06|C11,3,4,2,1,5,1,3,2
9102222,16,C04|C21|C11,C19|C15|C16,1,8,0,7,3,2,3,2
9102307,16,C19|C21|C16,C02|C09|C12,2,6,1,3,4,3,4,1
9102342,16,C02|C09|C06,C17|C12|C21,2,5,2,7,5,7,6,3
9102375,16,C19|C07|C12,C08|C06|C05,2,4,3,2,7,6,4,1
9102380,16,C21|C14|C08,C02|C03|C09,3,4,2,4,1,5,6,4
9102383,16,C01|C09|C17,C11|C20|C21,2,5,2,7,4,3,4,5
9102393,16,C08|C14|C07,C15|C20|C09,0,6,3,5,1,2,3,4
9102405,16,C18|C17|C06,C10|C08|C04,3,4,2,3,5,4,1,7
9102409,16,C07|C12|C15,C10|C18|C08,2,5,2,6,4,1,2,7
9102419,16,C01|C14|C15,C04|C11|C02,3,4,2,5,1,1,4,5
9102424,16,C13|C09|C02,C11|C08|C16,4,3,2,3,5,4,5,6
9102426,16,C01|C07|C15,C14|C16|C09,1,6,2,4,2,1,6,3
9102430,16,C16|C19|C11,C15|C03|C18,3,5,1,5,7,2,2,1
9102458,16,C12|C08|C03,C16|C21|C09,2,5,2,3,5,5,6,3
9102490,16,C19|C06|C21,C11|C08|C01,2,5,2,4,3,5,6,1
9102517,16,C06|C16|C01,C05|C04|C11,4,4,1,2,3,3,4,5
9102528,16,C13|C08|C03,C18|C20|C17,2,6,1,4,7,5,2,6
9102547,16,C18|C02|C21,C09|C10|C01,2,6,1,5,7,4,1,3
9102575,16,C08|C21|C05,C15|C13|C01,3,5,1,1,3,2,5,7
9102594,16,C19|C10|C03,C18|C01|C06,2,6,1,5,6,3,2,1
9102610,16,C01|C13|C10,C03|C04|C16,3,4,2,7,4,7,6,4
9102611,16,C21|C10|C08,C16|C05|C18,3,4,2,2,4,6,2,4
9102630,16,C07|C21|C08,C05|C18|C14,3,3,3,2,2,5,2,7
9102679,16,C17|C03|C13,C07|C01|C12,3,4,2,5,7,4,3,6
9102688,16,C07|C21|C18,C16|C05|C17,2,5,2,2,5,7,1,7
9102792,16,C18|C02|C19,C16|C20|C09,2,5,2,5,5,5,1,1
9102800,16,C05|C21|C13,C09|C19|C06,1,6,2,1,7,3,5,2
9102853,16,C14|C08|C06,C03|C13|C16,2,4,3,3,1,6,4,4
9102862,16,C01|C14|C16,C18|C20|C03,3,5,1,3,1,4,2,3
9102886,16,C20|C08|C06,C07|C19|C12,1,4,4,4,4,6,5,2
9102895,16,C11|C20|C10,C16|C18|C19,1,7,1,6,7,6,2,2
9102938,16,C11|C09|C01,C05|C13|C21,2,6,1,2,7,3,4,3
9102948,16,C07|C19|C16,C05|C10|C02,3,5,1,2,4,6,6,1
9102956,16,C16|C01|C20,C08|C18|C05,2,5,2,2,7,4,2,3
9102957,16,C11|C21|C08,C02|C16|C01,4,4,1,3,7,3,4,7
9102961,16,C18|C19|C20,C13|C12|C17,2,6,1,3,5,4,1,1
9102991,16,C12|C20|C04,C05|C11|C07,2,5,2,2,6,4,5,7
9103012,16,C18|C02|C07,C01|C17|C13,2,6,1,6,4,3,1,4
9103047,16,C02|C08|C14,C10|C05|C21,4,4,1,2,1,4,5,5
9103051,16,C08|C04|C21,C11|C16|C03,3,4,2,6,4,5,7,4
9103081,16,C10|C08|C09,C14|C17|C21,1,6,2,7,2,6,5,6
9103115,16,C10|C15|C13,C11|C21|C05,2,5,2,2,4,1,6,5
9103144,16,C20|C06|C02,C15|C11|C18,2,5,2,5,7,2,2,7
9103194,16,C16|C14|C20,C01|C15|C12,2,6,1,5,1,2,7,7
9103220,16,C11|C17|C06,C07|C12|C05,2,5,2,2,7,6,4,7
9103281,16,C20|C12|C07,C11|C06|C10,2,5,2,3,7,7,5,7
9103285,16,C01|C15|C06,C16|C04|C09,3,3,3,5,5,1,7,4
9103293,16,C05|C13|C19,C10|C11|C09,2,6,1,1,4,4,6,1
9103314,16,C09|C18|C06,C01|C13|C12,1,6,2,5,7,3,1,6
9103332,16,C04|C17|C11,C19|C05|C13,2,7,0,2,4,3,5,2
9103396,16,C12|C11|C02,C17|C19|C05,2,5,2,2,6,6,7,2
9103401,16,C08|C16|C15,C10|C14|C02,2,5,2,3,2,1,6,4
9103424,16,C04|C17|C01,C14|C11|C15,3,5,1,6,2,2,4,5
9103426,16,C17|C20|C07,C16|C04|C05,3,4,2,2,5,4,6,7
9103427,16,C14|C01|C18,C08|C17|C13,2,5,2,3,1,3,1,5
9103438,16,C15|C09|C20,C18|C10|C21,2,5,2,3,5,1,2,6
9103444,16,C01|C10|C06,C07|C09|C15,1,5,3,4,7,2,5,3
9100560,17,C07|C21|C15,C20|C02|C12,2,5,2,5,4,1,5,7
9101047,17,C01|C19|C17,C11|C16|C21,2,6,1,3,3,5,4,1
9101907,17,C15|C20|C13,C16|C10|C06,1,6,2,7,4,1,6,6
9102447,17,C02|C11|C16,C05|C14|C17,2,5,2,2,2,4,3,7
9103526,17,C13|C17|C08,C04|C03|C15,3,4,2,6,5,2,7,7
9103911,17,C13|C14|C02,C19|C09|C21,1,5,3,4,1,7,3,2
9104403,17,C19|C04|C20,C17|C14|C09,2,6,1,3,2,7,7,1
9105603,17,C17|C03|C10,C15|C20|C06,2,5,2,7,6,2,7,7
9106975,17,C07|C01|C15,C21|C17|C05,3,5,1,2,6,1,4,7
9100346,18,C18|C09|C06,C16|C20|C14,1,6,2,4,2,5,1,6
9100373,18,C08|C07|C03,C05|C11|C16,4,3,2,2,5,6,4,5
9100416,18,C19|C17|C01,C20|C15|C05,3,5,1,2,5,2,6,1
9101217,18,C13|C03|C19,C17|C20|C11,4,5,0,3,5,4,7,1
9101628,18,C05|C18|C16,C20|C02|C11,3,5,1,1,4,5,1,3
9101830,18,C02|C21|C05,C15|C19|C13,4,5,0,1,5,2,5,2
9102118,18,C08|C06|C20,C05|C13|C16,2,5,2,2,3,5,3,4
9102515,18,C03|C17|C04,C05|C10|C16,4,5,0,2,5,7,3,4
9102636,18,C06|C07|C13,C15|C21|C12,1,6,2,6,5,2,7,3
9102713,18,C02|C14|C01,C07|C03|C10,3,5,1,7,1,3,7,6
9103035,18,C16|C10|C14,C08|C04|C13,3,5,1,4,1,4,4,3
9103428,18,C18|C21|C01,C04|C09|C20,3,5,1,4,7,3,1,5
9103760,18,C08|C05|C11,C13|C17|C09,1,6,2,1,4,4,3,3
9104113,18,C12|C15|C07,C16|C05|C11,2,6,1,2,7,1,4,4
9104701,18,C02|C14|C03,C15|C01|C18,3,5,1,5,1,2,2,5
9104924,18,C04|C16|C15,C19|C12|C21,1,7,1,7,3,1,4,2
9105009,18,C14|C04|C01,C10|C13|C08,2,6,1,4,1,3,7,6
9106424,18,C21|C12|C03,C16|C05|C02,3,5,1,2,3,3,4,6
9106891,18,C12|C13|C19,C09|C15|C20,2,6,1,5,6,2,5,1
9107333,18,C13|C11|C19,C20|C17|C01,3,6,0,3,5,4,6,1
9107420,18,C10|C20|C13,C03|C21|C18,2,7,0,4,3,7,2,3
9108125,18,C12|C08|C15,C05|C06|C02,3,4,2,2,7,1,4,3
9108600,18,C20|C18|C01,C08|C05|C07,3,3,3,2,3,7,1,4
9109204,18,C15|C16|C21,C03|C11|C10,1,8,0,6,3,1,3,5
9109391,18,C06|C18|C04,C14|C02|C15,4,3,2,3,2,2,1,4
9109426,18,C20|C03|C19,C14|C04|C05,3,5,1,2,2,3,4,1
9109442,18,C01|C02|C13,C08|C19|C17,3,4,2,6,6,7,4,2
