seed,max_score,perfect_path
75219083,19,T_TopR_C20|T_TopR_C08|B_Buil_C03|T_TopR_C06|B_Buil_C04|B_Buil_C05|T_TopR_C01|B_Conq_C07|B_Buil_C16|T_TopR_C03|B_Buil_C10|T_TopR_C09|B_Buil_C11|T_TopR_C01|B_Buil_C20|B_Buil_C16|B_Buil_C15|B_Buil_C21|T_TopR_C09|B_Buil_C14|T_TopR_C01
58165045,19,T_TopR_C05|T_TopR_C10|B_Buil_C11|T_TopR_C01|B_Buil_C21|B_Buil_C04|T_TopR_C02|B_Buil_C05|T_TopR_C10|B_Buil_C15|T_TopR_C01|B_Buil_C21|B_Buil_C03|T_TopR_C02|B_Buil_C14|B_Buil_C16|B_Buil_C11|T_TopR_C01|T_TopR_C21|B_Buil_C17|B_Conq_C06
98530277,19,T_TopR_C05|T_TopR_C04|T_TopR_C01|B_Buil_C14|T_TopR_C10|B_Buil_C03|B_Conq_C06|B_Buil_C05|B_Buil_C04|T_TopR_C01|B_Buil_C14|T_TopR_C10|B_Buil_C21|B_Conq_C06|T_TopR_C05|B_Conq_C07|B_Buil_C11|B_Buil_C20|B_Buil_C10|T_TopR_C21|T_TopR_C17
29858676,20,T_TopR_C04|T_TopR_C01|T_TopR_C08|T_TopR_C15|B_Buil_C03|B_Buil_C05|B_Buil_C14|B_Buil_C04|T_TopR_C01|B_Conq_C06|B_Buil_C15|T_TopR_C09|B_Buil_C21|B_Conq_C07|B_Buil_C19|B_Buil_C20|B_Conq_C06|B_Buil_C18|T_TopR_C09|T_TopR_C17|B_Conq_C07
73245934,19,B_Conq_C06|T_TopR_C08|B_Buil_C05|T_TopR_C01|B_Buil_C04|T_TopR_C07|B_Buil_C14|T_TopR_C02|B_Buil_C15|B_Buil_C10|T_TopR_C01|B_Buil_C03|B_Buil_C21|T_TopR_C14|B_Buil_C11|B_Buil_C13|T_TopR_C05|B_Buil_C12|T_TopR_C03|B_Buil_C21|T_TopR_C14
54532909,20,T_TopR_C04|B_Buil_C05|T_TopR_C03|B_Buil_C14|T_TopR_C02|B_Conq_C06|B_Buil_C18|B_Buil_C04|T_TopR_C05|B_Buil_C03|B_Buil_C14|B_Buil_C11|T_TopR_C01|B_Buil_C18|T_TopR_C09|T_TopR_C05|B_Buil_C21|B_Conq_C07|B_Buil_C11|B_Conq_C06|B_Buil_C20
18492344,20,T_TopR_C07|T_TopR_C16|B_Buil_C05|T_TopR_C01|B_Buil_C04|B_Buil_C17|T_TopR_C06|B_Buil_C03|B_Buil_C16|T_TopR_C05|B_Buil_C14|T_TopR_C02|B_Buil_C15|B_Conq_C06|T_TopR_C07|B_Buil_C11|B_Buil_C10|B_Buil_C21|T_TopR_C02|B_Buil_C20|T_TopR_C12
59287595,19,T_TopR_C01|B_Conq_C06|T_TopR_C08|T_TopR_C12|T_TopR_C02|B_Buil_C05|B_Buil_C04|T_TopR_C01|B_Buil_C14|B_Buil_C03|B_Buil_C15|B_Conq_C07|T_TopR_C05|B_Buil_C11|B_Buil_C10|B_Conq_C06|B_Buil_C20|T_TopR_C12|B_Buil_C21|T_TopR_C05|T_TopR_C04
22804357,21,T_TopR_C12|B_Conq_C07|T_TopR_C05|B_Buil_C04|T_TopR_C01|B_Buil_C03|B_Buil_C14|T_TopR_C12|B_Conq_C07|B_Buil_C05|T_TopR_C02|B_Buil_C15|B_Buil_C20|T_TopR_C14|B_Buil_C19|B_Conq_C07|B_Buil_C18|T_TopR_C02|B_Conq_C06|B_Buil_C20|T_TopR_C14
21128098,20,T_TopR_C04|T_TopR_C01|T_TopR_C08|B_Buil_C03|B_Buil_C05|B_Conq_C06|B_Buil_C17|B_Buil_C04|T_TopR_C01|B_Buil_C11|T_TopR_C03|T_TopR_C05|B_Buil_C21|B_Buil_C16|B_Buil_C10|B_Buil_C14|B_Buil_C15|T_TopR_C12|T_TopR_C05|B_Buil_C21|T_TopR_C17
31309856,19,T_TopR_C01|T_TopR_C02|B_Conq_C06|B_Buil_C04|T_TopR_C08|B_Buil_C05|B_Buil_C03|T_TopR_C01|T_TopR_C02|B_Conq_C06|B_Buil_C14|B_Buil_C15|B_Buil_C20|B_Buil_C11|B_Buil_C10|T_TopR_C02|B_Conq_C06|T_TopR_C14|B_Buil_C18|B_Buil_C20|T_TopR_C12
61554906,19,T_TopR_C03|T_TopR_C10|B_Conq_C06|B_Buil_C14|T_TopR_C08|B_Buil_C04|T_TopR_C05|B_Buil_C03|B_Buil_C19|T_TopR_C17|B_Buil_C15|B_Buil_C18|T_TopR_C02|B_Buil_C05|B_Buil_C20|T_TopR_C10|B_Conq_C06|T_TopR_C14|B_Buil_C21|T_TopR_C02|B_Conq_C07
61973505,20,T_TopR_C16|T_TopR_C11|T_TopR_C02|B_Buil_C05|B_Buil_C21|T_TopR_C01|B_Buil_C04|B_Buil_C17|T_TopR_C10|T_TopR_C02|B_Buil_C03|B_Buil_C15|T_TopR_C01|B_Buil_C14|B_Buil_C16|T_TopR_C10|B_Conq_C07|B_Conq_C06|B_Buil_C21|B_Buil_C01|T_TopR_C14
36890235,18,T_TopR_C11|B_Buil_C14|T_TopR_C07|T_TopR_C01|T_TopR_C16|B_Buil_C03|B_Buil_C04|B_Conq_C06|T_TopR_C18|B_Conq_C07|B_Buil_C15|B_Buil_C19|T_TopR_C02|B_Buil_C05|B_Conq_C06|B_Buil_C18|B_Conq_C07|T_TopR_C01|T_TopR_C12|B_Buil_C20|B_Buil_C21
92906568,19,T_TopR_C04|T_TopR_C01|T_TopR_C10|T_TopR_C08|B_Buil_C16|B_Buil_C05|B_Buil_C11|B_Buil_C04|T_TopR_C01|B_Buil_C10|B_Conq_C06|B_Buil_C20|T_TopR_C05|B_Buil_C21|B_Buil_C03|T_TopR_C01|T_TopR_C19|B_Conq_C06|B_Buil_C16|T_TopR_C02|T_TopR_C21
94749931,21,T_TopR_C06|B_Buil_C04|T_TopR_C14|T_TopR_C01|B_Buil_C15|B_Buil_C05|T_TopR_C02|B_Conq_C06|B_Buil_C03|B_Buil_C14|T_TopR_C01|B_Buil_C16|B_Buil_C17|T_TopR_C02|B_Conq_C06|B_Buil_C21|T_TopR_C14|B_Buil_C20|B_Buil_C10|B_Buil_C11|T_TopR_C02
82977765,21,T_TopR_C17|T_TopR_C16|B_Buil_C04|B_Conq_C07|B_Buil_C05|T_TopR_C02|B_Buil_C15|B_Conq_C06|B_Buil_C14|T_TopR_C01|B_Buil_C03|B_Buil_C21|T_TopR_C02|B_Buil_C20|B_Buil_C17|B_Buil_C16|T_TopR_C01|B_Conq_C07|T_TopR_C05|B_Buil_C02|T_TopR_C10
88778512,19,T_TopR_C01|T_TopR_C02|B_Conq_C07|B_Buil_C21|T_TopR_C06|B_Buil_C04|B_Buil_C05|T_TopR_C01|T_TopR_C02|B_Buil_C18|B_Buil_C21|B_Buil_C19|B_Buil_C03|T_TopR_C05|T_TopR_C01|B_Buil_C14|B_Conq_C07|B_Buil_C15|B_Conq_C06|T_TopR_C17|T_TopR_C10
59355615,19,T_TopR_C05|T_TopR_C02|B_Buil_C11|T_TopR_C01|B_Buil_C04|T_TopR_C09|B_Buil_C21|B_Buil_C05|T_TopR_C02|B_Buil_C11|T_TopR_C01|B_Buil_C03|B_Conq_C06|B_Buil_C21|B_Buil_C16|T_TopR_C02|B_Buil_C14|T_TopR_C01|B_Buil_C17|B_Buil_C15|T_TopR_C21
58160842,20,T_TopR_C14|T_TopR_C16|B_Conq_C07|B_Buil_C05|T_TopR_C01|B_Buil_C04|T_TopR_C10|B_Buil_C14|B_Buil_C21|B_Buil_C03|T_TopR_C02|T_TopR_C01|B_Buil_C17|B_Buil_C15|T_TopR_C14|B_Buil_C21|B_Conq_C07|B_Buil_C02|T_TopR_C01|B_Buil_C17|B_Conq_C06
77104210,20,B_Conq_C07|T_TopR_C17|B_Buil_C04|T_TopR_C01|T_TopR_C12|B_Buil_C16|B_Buil_C03|T_TopR_C08|B_Buil_C20|B_Buil_C05|T_TopR_C01|T_TopR_C10|B_Buil_C16|T_TopR_C02|B_Buil_C11|B_Buil_C20|B_Buil_C15|T_TopR_C01|B_Buil_C10|B_Buil_C14|T_TopR_C02
13049836,19,T_TopR_C04|B_Conq_C07|B_Buil_C15|T_TopR_C02|T_TopR_C01|B_Buil_C05|T_TopR_C09|B_Buil_C04|B_Conq_C07|B_Buil_C15|T_TopR_C02|B_Buil_C19|T_TopR_C05|B_Buil_C21|B_Buil_C03|B_Buil_C20|T_TopR_C12|B_Conq_C06|B_Buil_C19|T_TopR_C05|B_Trib_C09
37543344,19,T_TopR_C04|T_TopR_C08|T_TopR_C15|T_TopR_C01|B_Buil_C18|B_Buil_C03|B_Buil_C05|B_Buil_C04|T_TopR_C09|B_Buil_C15|T_TopR_C01|B_Buil_C18|B_Buil_C14|B_Conq_C07|T_TopR_C10|B_Buil_C21|B_Conq_C06|T_TopR_C01|B_Buil_C20|T_TopR_C12|B_Conq_C07
91749632,20,B_Conq_C06|T_TopR_C02|B_Trib_C09|B_Buil_C04|B_Buil_C03|T_TopR_C01|B_Buil_C11|B_Buil_C05|T_TopR_C02|B_Buil_C14|T_TopR_C12|B_Buil_C15|T_TopR_C01|B_Buil_C20|B_Buil_C10|B_Buil_C19|B_Conq_C07|T_TopR_C12|B_Buil_C21|B_Buil_C18|T_TopR_C17
42684800,19,T_TopR_C04|T_TopR_C01|T_TopR_C02|B_Buil_C15|B_Conq_C07|T_TopR_C20|B_Buil_C05|B_Buil_C04|T_TopR_C01|T_TopR_C02|B_Buil_C15|B_Conq_C07|B_Buil_C20|B_Buil_C21|B_Buil_C03|T_TopR_C01|B_Buil_C18|B_Buil_C19|B_Conq_C07|T_TopR_C12|T_TopR_C21
11335952,20,B_Conq_C07|T_TopR_C04|T_TopR_C01|B_Buil_C03|B_Buil_C14|T_TopR_C02|T_TopR_C17|B_Buil_C05|B_Buil_C04|B_Conq_C06|T_TopR_C03|B_Buil_C14|T_TopR_C02|B_Buil_C20|B_Buil_C11|B_Buil_C10|T_TopR_C01|B_Buil_C21|T_TopR_C12|B_Buil_C02|T_TopR_C17
77687541,21,T_TopR_C01|T_TopR_C20|B_Conq_C07|B_Buil_C04|B_Buil_C03|T_TopR_C21|B_Buil_C05|T_TopR_C01|B_Buil_C20|B_Buil_C19|T_TopR_C02|B_Buil_C14|B_Buil_C21|T_TopR_C05|B_Buil_C18|B_Buil_C15|B_Conq_C07|B_Buil_C02|B_Conq_C06|B_Trib_C09|T_TopR_C17
93611063,20,T_TopR_C08|T_TopR_C15|B_Buil_C21|B_Buil_C04|T_TopR_C20|B_Buil_C03|T_TopR_C02|B_Buil_C05|B_Buil_C15|T_TopR_C01|B_Buil_C16|B_Buil_C14|B_Conq_C06|B_Conq_C07|T_TopR_C05|B_Buil_C11|T_TopR_C01|B_Buil_C16|B_Buil_C20|B_Buil_C10|T_TopR_C02
83989289,19,T_TopR_C08|B_Buil_C15|T_TopR_C01|T_TopR_C10|B_Conq_C06|B_Buil_C04|T_TopR_C02|B_Buil_C03|B_Buil_C14|T_TopR_C01|T_TopR_C10|B_Buil_C20|B_Buil_C05|B_Buil_C21|B_Conq_C07|T_TopR_C12|T_TopR_C01|B_Buil_C10|B_Conq_C06|B_Buil_C11|T_TopR_C21
89729424,22,T_TopR_C05|T_TopR_C02|B_Buil_C10|T_TopR_C01|B_Buil_C04|B_Conq_C06|B_Buil_C20|B_Buil_C05|T_TopR_C02|B_Buil_C03|T_TopR_C01|B_Buil_C16|B_Conq_C06|B_Buil_C21|T_TopR_C17|T_TopR_C02|B_Buil_C11|B_Buil_C01|B_Buil_C16|T_TopR_C12|T_TopR_C07
38328874,20,T_TopR_C02|T_TopR_C04|B_Buil_C03|T_TopR_C17|B_Buil_C05|B_Conq_C07|B_Buil_C21|T_TopR_C02|B_Buil_C04|T_TopR_C03|B_Buil_C17|T_TopR_C05|B_Conq_C07|B_Buil_C10|T_TopR_C02|B_Buil_C11|B_Buil_C20|B_Buil_C17|T_TopR_C05|B_Conq_C07|T_TopR_C21
20820103,21,T_TopR_C21|B_Conq_C07|T_TopR_C05|B_Buil_C04|T_TopR_C09|B_Buil_C03|B_Buil_C10|T_TopR_C21|B_Buil_C16|B_Buil_C05|T_TopR_C01|B_Buil_C20|T_TopR_C02|B_Buil_C10|B_Buil_C21|B_Conq_C07|B_Buil_C17|T_TopR_C01|T_TopR_C09|B_Buil_C02|T_TopR_C10
23688048,20,B_Conq_C06|B_Buil_C05|T_TopR_C07|B_Buil_C14|T_TopR_C09|T_TopR_C02|B_Buil_C04|T_TopR_C01|B_Buil_C17|B_Conq_C07|B_Buil_C14|B_Buil_C21|B_Buil_C03|T_TopR_C18|T_TopR_C01|B_Buil_C17|B_Conq_C07|B_Buil_C20|T_TopR_C09|B_Buil_C02|T_TopR_C04
78279340,18,T_TopR_C04|T_TopR_C10|B_Buil_C05|B_Conq_C06|T_TopR_C01|B_Buil_C17|B_Buil_C21|B_Buil_C04|T_TopR_C10|B_Buil_C03|B_Buil_C12|T_TopR_C01|B_Buil_C17|T_TopR_C02|B_Buil_C13|B_Buil_C14|B_Buil_C15|T_TopR_C12|B_Buil_C20|T_TopR_C09|T_TopR_C02
46906021,21,T_TopR_C08|B_Buil_C04|T_TopR_C17|B_Buil_C20|T_TopR_C02|B_Buil_C03|T_TopR_C09|B_Conq_C06|B_Buil_C05|T_TopR_C17|B_Buil_C20|B_Conq_C07|T_TopR_C03|B_Buil_C10|B_Buil_C11|T_TopR_C01|B_Buil_C19|B_Buil_C18|B_Conq_C07|T_TopR_C03|T_TopR_C09
54403931,20,T_TopR_C05|T_TopR_C02|B_Buil_C21|B_Buil_C04|B_Conq_C07|B_Buil_C19|T_TopR_C01|B_Buil_C05|B_Buil_C03|T_TopR_C21|T_TopR_C12|B_Buil_C20|B_Buil_C19|B_Conq_C06|B_Buil_C17|T_TopR_C03|B_Buil_C16|T_TopR_C12|B_Conq_C07|T_TopR_C14|T_TopR_C01
22454699,21,T_TopR_C21|T_TopR_C20|B_Buil_C05|T_TopR_C02|B_Conq_C06|B_Buil_C18|B_Buil_C04|T_TopR_C09|B_Buil_C03|B_Buil_C14|T_TopR_C02|T_TopR_C01|B_Buil_C19|B_Conq_C07|B_Buil_C21|B_Buil_C20|B_Buil_C14|T_TopR_C02|B_Conq_C06|T_TopR_C19|B_Conq_C07
70448230,21,T_TopR_C16|B_Buil_C04|T_TopR_C07|B_Buil_C19|T_TopR_C02|B_Buil_C03|B_Buil_C05|T_TopR_C09|T_TopR_C12|B_Buil_C15|B_Buil_C11|T_TopR_C02|B_Buil_C18|B_Buil_C14|B_Buil_C21|B_Buil_C20|B_Conq_C07|B_Buil_C10|T_TopR_C02|B_Conq_C06|T_TopR_C01
60373605,21,T_TopR_C21|B_Buil_C05|T_TopR_C03|T_TopR_C04|B_Buil_C18|B_Conq_C07|B_Buil_C10|T_TopR_C09|T_TopR_C05|B_Buil_C03|B_Buil_C04|B_Buil_C18|T_TopR_C01|B_Buil_C10|B_Buil_C21|B_Buil_C20|B_Conq_C06|T_TopR_C17|T_TopR_C18|B_Conq_C07|T_TopR_C02
44368465,21,T_TopR_C08|B_Buil_C04|T_TopR_C05|B_Buil_C14|T_TopR_C12|T_TopR_C10|B_Buil_C03|B_Buil_C16|B_Buil_C15|B_Buil_C05|T_TopR_C02|B_Conq_C06|B_Buil_C10|T_TopR_C01|B_Conq_C07|B_Buil_C17|B_Buil_C11|B_Buil_C21|B_Buil_C20|T_TopR_C10|T_TopR_C01
10534111,20,T_TopR_C12|B_Conq_C06|B_Buil_C04|T_TopR_C05|B_Buil_C03|T_TopR_C01|T_TopR_C21|B_Buil_C15|B_Conq_C06|B_Buil_C17|B_Buil_C05|B_Buil_C16|T_TopR_C01|B_Buil_C21|B_Buil_C15|B_Conq_C06|T_TopR_C17|B_Buil_C02|T_TopR_C14|B_Buil_C20|T_TopR_C07
81199770,20,T_TopR_C20|T_TopR_C05|B_Buil_C04|B_Buil_C21|T_TopR_C09|B_Buil_C03|T_TopR_C01|B_Buil_C20|B_Buil_C05|T_TopR_C02|B_Buil_C16|T_TopR_C09|B_Buil_C10|T_TopR_C01|B_Buil_C11|B_Buil_C15|B_Buil_C14|B_Buil_C16|B_Conq_C06|T_TopR_C10|T_TopR_C01
49161296,20,T_TopR_C16|B_Buil_C05|B_Conq_C07|B_Buil_C21|T_TopR_C06|B_Buil_C04|T_TopR_C01|B_Buil_C10|T_TopR_C05|B_Buil_C03|B_Buil_C15|T_TopR_C02|B_Buil_C14|B_Buil_C20|B_Buil_C19|B_Buil_C18|T_TopR_C07|B_Buil_C11|B_Conq_C06|T_TopR_C14|T_TopR_C01
62108684,19,T_TopR_C04|T_TopR_C11|B_Buil_C16|T_TopR_C20|T_TopR_C09|B_Buil_C17|B_Buil_C05|B_Buil_C04|T_TopR_C11|T_TopR_C10|B_Buil_C20|T_TopR_C09|B_Buil_C21|T_TopR_C02|B_Buil_C03|B_Buil_C11|B_Buil_C10|T_TopR_C12|T_TopR_C18|B_Buil_C01|T_TopR_C02
17138471,20,T_TopR_C20|B_Buil_C05|T_TopR_C01|T_TopR_C14|B_Buil_C17|B_Buil_C04|T_TopR_C09|B_Buil_C20|T_TopR_C05|B_Buil_C21|B_Conq_C07|B_Buil_C17|B_Buil_C10|B_Buil_C03|B_Buil_C11|T_TopR_C02|B_Buil_C15|B_Buil_C14|T_TopR_C17|T_TopR_C10|T_TopR_C09
48797129,17,T_TopR_C16|T_TopR_C02|T_TopR_C01|B_Buil_C03|B_Buil_C15|T_TopR_C08|B_Buil_C14|T_TopR_C17|T_TopR_C02|B_Buil_C10|B_Buil_C04|B_Buil_C11|B_Buil_C21|B_Conq_C07|T_TopR_C17|T_TopR_C02|T_TopR_C01|B_Buil_C05|B_Buil_C20|T_TopR_C21|B_Conq_C07
79588719,20,T_TopR_C01|T_TopR_C14|B_Buil_C04|B_Buil_C21|T_TopR_C10|B_Buil_C05|T_TopR_C02|T_TopR_C01|B_Buil_C14|B_Buil_C15|B_Buil_C03|B_Buil_C10|T_TopR_C05|B_Buil_C11|T_TopR_C01|B_Conq_C06|B_Buil_C16|B_Buil_C21|T_TopR_C10|B_Buil_C17|T_TopR_C02
74007481,21,T_TopR_C02|B_Conq_C07|B_Buil_C04|T_TopR_C05|B_Buil_C14|T_TopR_C10|B_Buil_C20|B_Buil_C03|T_TopR_C08|B_Buil_C15|B_Buil_C05|T_TopR_C01|T_TopR_C10|B_Buil_C18|B_Buil_C19|B_Conq_C07|T_TopR_C17|B_Buil_C21|B_Buil_C01|T_TopR_C10|B_Conq_C06
43296508,21,T_TopR_C06|B_Buil_C04|T_TopR_C12|B_Buil_C05|T_TopR_C02|B_Buil_C03|B_Buil_C19|B_Conq_C06|T_TopR_C01|B_Buil_C21|B_Buil_C20|T_TopR_C02|B_Conq_C07|B_Buil_C14|B_Buil_C15|T_TopR_C01|B_Buil_C11|B_Buil_C10|T_TopR_C02|B_Conq_C07|B_Buil_C19
76184561,21,T_TopR_C08|B_Buil_C05|T_TopR_C03|B_Conq_C07|T_TopR_C02|B_Buil_C14|B_Buil_C04|T_TopR_C01|B_Conq_C06|B_Buil_C03|B_Buil_C21|T_TopR_C02|B_Buil_C14|T_TopR_C09|B_Buil_C19|B_Conq_C06|B_Buil_C18|B_Conq_C07|B_Buil_C20|T_TopR_C14|T_TopR_C09
64656985,20,T_TopR_C01|T_TopR_C02|B_Conq_C06|B_Buil_C04|T_TopR_C07|B_Buil_C05|B_Buil_C03|T_TopR_C01|T_TopR_C02|B_Buil_C21|B_Buil_C15|B_Conq_C07|B_Buil_C20|B_Buil_C10|B_Buil_C11|T_TopR_C02|B_Conq_C06|B_Buil_C15|B_Conq_C07|T_TopR_C05|T_TopR_C10
27737825,21,T_TopR_C03|T_TopR_C09|B_Conq_C07|B_Buil_C04|B_Conq_C06|T_TopR_C01|B_Buil_C05|B_Buil_C03|T_TopR_C09|B_Buil_C14|B_Buil_C15|T_TopR_C02|T_TopR_C01|B_Buil_C20|B_Buil_C21|T_TopR_C09|B_Conq_C07|B_Buil_C19|B_Conq_C06|B_Buil_C18|T_TopR_C05
66150814,19,T_TopR_C04|T_TopR_C02|B_Buil_C05|T_TopR_C09|B_Buil_C03|B_Buil_C12|T_TopR_C07|B_Buil_C04|T_TopR_C02|B_Buil_C10|B_Buil_C15|B_Buil_C14|T_TopR_C01|B_Conq_C06|B_Buil_C21|T_TopR_C02|B_Buil_C10|B_Buil_C13|B_Buil_C20|T_TopR_C12|B_Conq_C06
39251081,19,T_TopR_C05|T_TopR_C16|T_TopR_C08|B_Buil_C21|T_TopR_C01|B_Buil_C03|B_Buil_C04|B_Buil_C05|T_TopR_C18|T_TopR_C17|B_Buil_C21|T_TopR_C01|B_Buil_C15|B_Buil_C14|B_Conq_C06|B_Buil_C16|B_Buil_C17|T_TopR_C21|B_Buil_C01|T_TopR_C20|T_TopR_C10
69190782,19,T_TopR_C16|B_Buil_C05|T_TopR_C02|T_TopR_C04|B_Buil_C03|T_TopR_C18|B_Buil_C10|B_Buil_C11|T_TopR_C01|B_Buil_C17|B_Buil_C04|B_Conq_C07|B_Buil_C15|T_TopR_C10|B_Buil_C16|T_TopR_C01|B_Buil_C21|B_Buil_C14|B_Buil_C20|T_TopR_C09|T_TopR_C10
31496276,18,T_TopR_C05|T_TopR_C02|B_Buil_C04|T_TopR_C01|B_Conq_C07|B_Buil_C03|B_Buil_C17|B_Buil_C05|T_TopR_C02|B_Conq_C06|B_Buil_C16|B_Buil_C11|T_TopR_C03|B_Buil_C10|T_TopR_C05|B_Buil_C02|B_Buil_C18|B_Buil_C19|B_Conq_C07|T_TopR_C03|T_TopR_C12
42398093,21,T_TopR_C08|B_Buil_C04|T_TopR_C05|T_TopR_C01|B_Buil_C03|B_Buil_C20|B_Buil_C11|T_TopR_C21|T_TopR_C17|B_Buil_C05|T_TopR_C01|B_Buil_C15|B_Buil_C14|B_Buil_C11|B_Buil_C21|B_Buil_C17|T_TopR_C05|T_TopR_C01|B_Buil_C16|B_Buil_C02|T_TopR_C12
92594763,19,T_TopR_C05|B_Buil_C18|T_TopR_C09|B_Buil_C03|T_TopR_C17|T_TopR_C01|B_Buil_C04|T_TopR_C02|B_Conq_C06|B_Buil_C15|B_Buil_C14|B_Buil_C20|T_TopR_C01|B_Buil_C21|B_Buil_C05|B_Conq_C06|B_Buil_C19|T_TopR_C14|B_Conq_C07|T_TopR_C01|T_TopR_C21
57914890,19,T_TopR_C05|T_TopR_C03|T_TopR_C01|B_Buil_C21|B_Buil_C04|B_Conq_C06|B_Conq_C07|B_Buil_C05|B_Buil_C03|T_TopR_C01|T_TopR_C02|B_Buil_C14|B_Buil_C20|B_Buil_C12|T_TopR_C05|B_Buil_C13|B_Buil_C01|T_TopR_C02|B_Buil_C14|B_Conq_C06|T_TopR_C17
